ID_0,ISO,NAME_0,ID_1,NAME_1,NL_NAME_1,VARNAME_1,TYPE_1,ENGTYPE_1
186,RUS,Russia,28,Karachay-Cherkess,?????????-????????? ??????????,Karaçay-Çerkes|Karachay-Cherkessiya|Karachayevo-Cherkesskaya Respublika|Karachayevo-Cherkessiya|Karachayevo-Cherkess Republic|K,Respublika,Republic
186,RUS,Russia,29,Karelia,?????????? ???????,Karelian A.S.S.R.|Karelo-Finnish A.S.S.R.|Karel'skaya A.S.S.R.|Olonets|Olonetskaya G.|Kareliya|Republic of Karelia,Respublika,Republic
186,RUS,Russia,30,Kemerovo,??????????? ???????,Kemerovskaya Oblast,Oblast,Region
186,RUS,Russia,31,Khabarovsk,??????????? ????,Khabarovskiy Kray,Kray,Territory
186,RUS,Russia,32,Khakass,?????????? ???????,Khakassiya|Republic of Khakasia|Khakasskaya A.Obl.|Respublika Khakasiya|Republic of Khakasia,Respublika,Republic
186,RUS,Russia,33,Khanty-Mansiy,?????-?????????? ???,Khanty-Mansiysk|Khanty-Mansiyskiy A.Okr.|Khanty-Mansiyskiy A.Okr.-Yugra|Khanty-Mansiyskiy Aok,Avtonomnyy Okrug,Autonomous Province
186,RUS,Russia,34,Kirov,????????? ???????,Vyatka|Vyatskaya G.|Kirovskaya Oblast,Oblast,Region
186,RUS,Russia,36,Komi,?????????? ????,Komi A.S.S.R.|Republic of Komi|Respublika Komi,Respublika,Republic
186,RUS,Russia,38,Kostroma,??????????? ???????,Kostromskaya Oblast,Oblast,Region
186,RUS,Russia,39,Krasnodar,????????????? ????,Cossacks of the Black Sea|Kuban|Kubanskaya|Yekaterinodar|Krasnodarskiy Kray,Kray,Territory
186,RUS,Russia,1,Adygey,?????????? ??????,Adygea|Adygeya|Adygheya|Republic of Adygeya|Adygeyskaya A.Obl.|Respublika Adygeya,Respublika,Republic
186,RUS,Russia,3,Altay,????????? ????,Altayskiy Kray,Kray,Territory
186,RUS,Russia,4,Amur,???????? ???????,Amurskaya Oblast,Oblast,Region
186,RUS,Russia,5,Arkhangel'sk,????????????? ???????,Arcangelo|Archangel|Archangelsk|Arkhangelskaya Oblast,Oblast,Region
186,RUS,Russia,6,Astrakhan',???????????? ???????,Astrachan|Astrakhanskaya Oblast,Oblast,Region
186,RUS,Russia,7,Bashkortostan,?????????? ????????????,Bashkir|Bashkiriya|Bashkirskaya A.S.S.R.|Republic of Bashkortostan|Respublika Bashkortostan,Respublika,Republic
186,RUS,Russia,8,Belgorod,???????????? ???????,Belgorodskaya Oblast,Oblast,Region
186,RUS,Russia,9,Bryansk,???????? ???????,Bryanskaya Oblast,Oblast,Region
186,RUS,Russia,10,Buryat,?????????? ???????,Buryatiya|Buryat-Mongol A.S.S.R.|Republic of Buryatia|Buryatskaya A.S.S.R.|Respublika,Respublika,Republic
186,RUS,Russia,11,Chechnya,?????????? ??????-?????????,Cecenia|Chechenia|Chechênia|Tchetchnia|Chechen-Ingush A.S.S.R.|Checheno-Ingushetia|Checheno-Ingushetia,Respublika,Republic
186,RUS,Russia,12,Chelyabinsk,??????????? ???????,Chelyabinskaya Oblast,Oblast,Region
186,RUS,Russia,14,Chukot,????????? ???,Chukotka|Chukotskiy Aok,Avtonomnyy Okrug,Autonomous Province
186,RUS,Russia,15,Chuvash,????????? ??????????,Chuvashskaya A.S.S.R.|Chuvashskaya Respublika|Chuvashiya|Chuvash Republic,Respublika,Republic
186,RUS,Russia,16,City of St. Petersburg,?????-????????? (????????),Sankt-Peterburg gorsovet,Gorsovet,City
186,RUS,Russia,17,Dagestan,?????????? ????????,Dagestanskaya A.S.S.R.|Daghestan|Republic of Dagestan|Respublika Dagestan|Dagistan,Respublika,Republic
186,RUS,Russia,19,Gorno-Altay,?????????? ?????,Gorno-Altayskaya A.Obl.|Respublika Altay|Oirot|Republic of Altai,Respublika,Republic
186,RUS,Russia,20,Ingush,?????´????? ??????´???,Ingouchie|Inguchétia|Inguschetien|Ingushetia|Ingushetiya|Ingush Republic|Ingushskaya Respublika|Respublika Ingushetiya,Respublika,Republic
186,RUS,Russia,22,Ivanovo,?????????? ???????,Ivanovskaya Oblast,Oblast,Region
186,RUS,Russia,23,Kabardin-Balkar,?????????-?????????? ??????????,Kabardin A.S.S.R.|Kabardino-Balkarskaya A.S.S.R.|Kabardino-Balkariya|Kabardino-Balkarsk|Kabard|Kabardino-Balkarskaya Republic,Respublika,Republic
186,RUS,Russia,24,Kaliningrad,??????????????? ???????,Kaliningradskaya Oblast,Oblast,Region
186,RUS,Russia,25,Kalmyk,?????????? ????????,Kalmykiya|Khalmg Tangch|Republic of Kalmykia|Kalmytskaya A.S.S.R.|Respublika Kalmykiya,Respublika,Republic
186,RUS,Russia,26,Kaluga,????????? ???????,Kaluzhskaya Oblast,Oblast,Region
186,RUS,Russia,41,Kurgan,?????????? ???????,Kurganskaya Oblast,Oblast,Region
186,RUS,Russia,42,Kursk,??????? ???????,Kurskaya Oblast,Oblast,Region
186,RUS,Russia,43,Leningrad,????????????? ???????,Saint Petersburg|Sankt-Peterburgskaya G.|Leningradskaya Oblast,Oblast,Region
186,RUS,Russia,44,Lipetsk,???????? ???????,Lipetskaya Oblast,Oblast,Region
186,RUS,Russia,45,Maga Buryatdan,??????????? ???????,Magadanskaya Oblast,Oblast,Region
186,RUS,Russia,46,Mariy-El,?????????? ????? ??,Mari|Mari-El|Republic of Mari El|Mariyskaya A.S.S.R.|Respublika Mariy El,Respublika,Republic
186,RUS,Russia,47,Mordovia,?????????? ????????,Mordov|Mordvian Autonomous Republic|Mordvinia|Republic of Mordovia|Mordovian A.S.S.R.,Respublika,Republic
186,RUS,Russia,48,Moscow City,,,Gorod,City
186,RUS,Russia,49,Moskva,?????????? ???????,Mosca|Moscou|Moscow|Moskau|Moskova|Moskovskaya,Oblast,Region
186,RUS,Russia,50,Murmansk,?????????? ???????,Murmanskaya Oblast,Oblast,Region
186,RUS,Russia,51,Nenets,???????? ???,Nenetskiy A.Okr.|Nenetskiy Aok,Avtonomnyy Okrug,Autonomous Province
186,RUS,Russia,52,Nizhegorod,????????????? ???????,Gor'kiy|Gor'kovskaya|Gorky|Nizhegorodskaya|Nizhniy-Novgorod|Nizhegorodskaya Oblast,Oblast,Region
186,RUS,Russia,53,North Ossetia,?????????? ???????? ??????-??????,Kuzey Osetya|Respublika Severnaya Osetiya|Severnaya Osetiya-Alaniya|North Ossetian A.S.S.R.|Republic of North Osetia-Alania,Respublika,Republic
186,RUS,Russia,54,Novgorod,???????????? ???????,Novgorodskaya Oblast,Oblast,Region
186,RUS,Russia,55,Novosibirsk,????????????? ???????,Novosibirskaya Oblast,Oblast,Region
186,RUS,Russia,56,Omsk,?????? ???????,Omskaya Oblast,Oblast,Region
186,RUS,Russia,57,Orel,????????? ???????,Orlovskaya|Or'ol|Oryol|Orlovskaya Oblast,Oblast,Region
186,RUS,Russia,58,Orenburg,???????????? ???????,Chkalov|Orenburgskaya|Orenburgskaya Oblast,Oblast,Region
186,RUS,Russia,59,Penza,?????????? ???????,Penzenskaya Oblast,Oblast,Region
186,RUS,Russia,61,Primor'ye,?????????? ????,Küsten-Gebiet|Maritime Territory|Primorsk|Primorskiy Kray,Kray,Territory
186,RUS,Russia,62,Pskov,????????? ???????,Pskovskaya Oblast,Oblast,Region
186,RUS,Russia,63,Rostov,?????????? ???????,Province of the Don Cossacks|Provinz des Donischen Heeres|Voyska Donskovo|Rostovskaya Oblast,Oblast,Region
186,RUS,Russia,64,Ryazan',????????? ???????,Ryazanskaya Oblast|Ryazanskaya Oblast,Oblast,Region
186,RUS,Russia,65,Sakha,?????????? ????,Republic of Sakha|Yakutia-Sakha|Yakutsk|Yakut A.S.S.R.|Yakutskaya A.S.S.R.|Respublika Sakha,Respublika,Republic
186,RUS,Russia,66,Sakhalin,??????????? ???????,Sakhalinskaya Oblast,Oblast,Region
186,RUS,Russia,67,Samara,????????? ???????,Kuybyshev|Kuybyshevskaya|Samarskaya Oblast,Oblast,Region
186,RUS,Russia,68,Saratov,??????????? ???????,Saratovskaya Oblast,Oblast,Region
186,RUS,Russia,69,Smolensk,?????????? ???????,Smolenskaya Oblast,Oblast,Region
