RU-AD,Адыгея,республика 
RU-ALT,Алтайский край,край 
RU-AMU,Амурская область,область
RU-ARK,Архангельская область,область
RU-AST,Астраханская область,область
RU-BA,Башкортостан,республика
RU-BEL,Белгородская область,область
RU-BRY,Брянская область,область
RU-BU,Бурятия,республика
RU-VLA,Владимирская область,область
RU-VGG,Волгоградская область,область
RU-VLG,Вологодская область,область
RU-VOR,Воронежская область,область
RU-DA,Дагестан,республика
RU-YEV,Еврейская автономная область,автономная область
RU-ZAB,Забайкальский край,край
RU-IVA,Ивановская область,область
RU-IN,Ингушетия,республика
RU-IRK,Иркутская область,область
RU-KB,Кабардино-Балкария,республика
RU-KGD,Калининградская область,область
RU-KL,Калмыкия,республика
RU-KLU,Калужская область,область
RU-KAM,Камчатский край,край
RU-KC,Карачаево-Черкесия,республика
RU-KR,Карелия,республика
RU-KEM,Кемеровская область,область
RU-KIR,Кировская область,область
RU-KOS,Костромская область,область
RU-KDA,Краснодарский край,край
RU-KYA,Красноярский край,край
RU-KGN,Курганская область,область
RU-KRS,Курская область,область
RU-LEN,Ленинградская область,область
RU-LIP,Липецкая область,область
RU-MAG,Магаданская область,область
RU-ME,Марий Эл,республика
RU-MO,Мордовия,республика
RU-MOW,Москва,город
RU-MOS,Московская область,область
RU-MUR,Мурманская область,область
RU-NEN,Ненецкий автономный округ,автономный округ
RU-NIZ,Нижегородская область,область
RU-NGR,Новгородская область,область
RU-NVS,Новосибирская область,область
RU-OMS,Омская область,область
RU-ORE,Оренбургская область,область
RU-ORL,Орловская область,область
RU-PNZ,Пензенская область,область
RU-PER,Пермский край,край
RU-PRI,Приморский край,край
RU-PSK,Псковская область,область
RU-AL,Республика Алтай,республика
RU-KO,Республика Коми,республика
RU-SA,Республика Саха,республика
RU-ROS,Ростовская область,область
RU-RYA,Рязанская область,область
RU-SAM,Самарская область,область
RU-SPE,Санкт-Петербург,город 
RU-SAR,Саратовская область,область
RU-SAK,Сахалинская область,область
RU-SVE,Свердловская область,область
RU-SE,Северная Осетия,республика
RU-SMO,Смоленская область,область
RU-STA,Ставропольский край,край
RU-TAM,Тамбовская область,область
RU-TA,Татарстан,республика
RU-TVE,Тверская область,область
RU-TOM,Томская область,область
RU-TY,Тува,республика
RU-TUL,Тульская область,область
RU-TYU,Тюменская область,область
RU-UD,Удмуртия,республика
RU-ULY,Ульяновская область,область
RU-KHA,Хабаровский край,край
RU-KK,Хакасия,республика
RU-KHM,Ханты-Мансийский автономный округ,автономный округ 
RU-CHE,Челябинская область,область
RU-CE,Чеченская республика,республика
RU-CU,Чувашия,республика
RU-CHU,Чукотский автономный округ,автономный округ
RU-YAN,Ямало-Ненецкий автономный округ,автономный округ
RU-YAR,Ярославская область,область
