Геокод,Субъект Федерации,Статус

RU-AMU,Амурская область,область

RU-ARK,Архангельская область,область

RU-AST,Астраханская область,область

RU-BEL,Белгородская область,область

RU-BRY,Брянская область,область

RU-VLA,Владимирская область,область

RU-VGG,Волгоградская область,область

RU-VLG,Вологодская область,область

RU-VOR,Воронежская область,область

RU-IVA,Ивановская область,область

RU-IRK,Иркутская область,область

RU-KGD,Калининградская область,область

RU-KLU,Калужская область,область

RU-KEM,Кемеровская область,область

RU-KIR,Кировская область,область

RU-KOS,Костромская область,область

RU-KGN,Курганская область,область

RU-KRS,Курская область,область

RU-LEN,Ленинградская область,область

RU-LIP,Липецкая область,область

RU-MAG,Магаданская область,область

RU-MOS,Московская область,область

RU-MUR,Мурманская область,область

RU-NIZ,Нижегородская область,область

RU-NGR,Новгородская область,область

RU-NVS,Новосибирская область,область

RU-OMS,Омская область,область

RU-ORE,Оренбургская область,область

RU-ORL,Орловская область,область

RU-PNZ,Пензенская область,область

RU-PSK,Псковская область,область

RU-ROS,Ростовская область,область

RU-RYA,Рязанская область,область

RU-SAM,Самарская область,область

RU-SAR,Саратовская область,область

RU-SAK,Сахалинская область,область

RU-SVE,Свердловская область,область

RU-SMO,Смоленская область,область

RU-TAM,Тамбовская область,область

RU-TVE,Тверская область,область

RU-TOM,Томская область,область

RU-TUL,Тульская область,область

RU-TYU,Тюменская область,область

RU-ULY,Ульяновская область,область

RU-CHE,Челябинская область,область

RU-YAR,Ярославская область,область

RU-AD,Адыгея,республика 

RU-BA,Башкортостан,республика

RU-BU,Бурятия,республика

RU-DA,Дагестан,республика

RU-IN,Ингушетия,республика

RU-KB,Кабардино-Балкария,республика

RU-KL,Калмыкия,республика

RU-KC,Карачаево-Черкесия,республика

RU-KR,Карелия,республика

RU-ME,Марий Эл,республика

RU-MO,Мордовия,республика

RU-AL,Республика Алтай,республика

RU-KO,Республика Коми,республика

RU-SA,Республика Саха,республика

RU-SE,Северная Осетия,республика

RU-TA,Татарстан,республика

RU-TY,Тува,республика

RU-UD,Удмуртия,республика

RU-KK,Хакасия,республика

RU-CE,Чеченская республика,республика

RU-CU,Чувашия,республика

RU-ALT,Алтайский край,край 

RU-ZAB,Забайкальский край,край

RU-KAM,Камчатский край,край

RU-KDA,Краснодарский край,край

RU-KYA,Красноярский край,край

RU-PER,Пермский край,край

RU-PRI,Приморский край,край

RU-STA,Ставропольский край,край

RU-KHA,Хабаровский край,край

RU-NEN,Ненецкий автономный округ,автономный округ

RU-KHM,Ханты-Мансийский автономный округ,автономный округ 

RU-CHU,Чукотский автономный округ,автономный округ

RU-YAN,Ямало-Ненецкий автономный округ,автономный округ

RU-SPE,Санкт-Петербург,город 

RU-MOW,Москва,город

RU-YEV,Еврейская автономная область,автономная область
