region_name,ap,value
Респ. Башкортостан, Водка ,492.19
Респ. Башкортостан, ЛИ<25% ,8.91
Респ. Башкортостан, ЛИ>25% ,55.18
Респ. Башкортостан, Коньяк+ ,43.69
Респ. Башкортостан, Виски ,16.71
Респ. Башкортостан, СП ,1.83
Респ. Башкортостан, ВиноВ ,157.82
Респ. Башкортостан, ВиноГУ ,16.16
Респ. Башкортостан, ВиноМП ,16.16
Респ. Башкортостан, ВиноФ ,29.96
Респ. Башкортостан, ВиноИ ,9.68
Респ. Башкортостан, ВиноИГУ ,6.47
Респ. Башкортостан, ВиноШ ,20.82
Респ. Башкортостан, ВН без ЭС ,118.30
Респ. Башкортостан, Вино с ЭС ,6.10
Респ. Дагестан, Водка ,653.05
Респ. Дагестан, ЛИ<25% ,0.00
Респ. Дагестан, ЛИ>25% ,7.81
Респ. Дагестан, Коньяк+ ,133.06
Респ. Дагестан, Виски ,4.77
Респ. Дагестан, СП ,1.08
Респ. Дагестан, ВиноВ ,132.30
Респ. Дагестан, ВиноГУ ,45.04
Респ. Дагестан, ВиноМП ,4.14
Респ. Дагестан, ВиноФ ,4.65
Респ. Дагестан, ВиноИ ,0.00
Респ. Дагестан, ВиноИГУ ,3.16
Респ. Дагестан, ВиноШ ,5.26
Респ. Дагестан, ВН без ЭС ,3.89
Респ. Дагестан, Вино с ЭС ,1.19
Респ. Коми, Водка ,442.05
Респ. Коми, ЛИ<25% ,28.96
Респ. Коми, ЛИ>25% ,31.19
Респ. Коми, Коньяк+ ,43.83
Респ. Коми, Виски ,8.33
Респ. Коми, СП ,0.00
Респ. Коми, ВиноВ ,160.49
Респ. Коми, ВиноГУ ,11.70
Респ. Коми, ВиноМП ,11.46
Респ. Коми, ВиноФ ,87.87
Респ. Коми, ВиноИ ,9.39
Респ. Коми, ВиноИГУ ,1.86
Респ. Коми, ВиноШ ,36.01
Респ. Коми, ВН без ЭС ,120.48
Респ. Коми, Вино с ЭС ,6.00
Респ. Сев. Осетия-Алания, Водка ,194.29
Респ. Сев. Осетия-Алания, ЛИ<25% ,5.28
Респ. Сев. Осетия-Алания, ЛИ>25% ,11.33
Респ. Сев. Осетия-Алания, Коньяк+ ,72.65
Респ. Сев. Осетия-Алания, Виски ,53.34
Респ. Сев. Осетия-Алания, СП ,15.76
Респ. Сев. Осетия-Алания, ВиноВ ,177.37
Респ. Сев. Осетия-Алания, ВиноГУ ,16.48
Респ. Сев. Осетия-Алания, ВиноМП ,21.66
Респ. Сев. Осетия-Алания, ВиноФ ,24.91
Респ. Сев. Осетия-Алания, ВиноИ ,23.02
Респ. Сев. Осетия-Алания, ВиноИГУ ,11.26
Респ. Сев. Осетия-Алания, ВиноШ ,59.94
Респ. Сев. Осетия-Алания, ВН без ЭС ,297.16
Респ. Сев. Осетия-Алания, Вино с ЭС ,15.38
Респ. Мордовия, Водка ,461.72
Респ. Мордовия, ЛИ<25% ,12.99
Респ. Мордовия, ЛИ>25% ,26.41
Респ. Мордовия, Коньяк+ ,31.73
Респ. Мордовия, Виски ,10.25
Респ. Мордовия, СП ,10.12
Респ. Мордовия, ВиноВ ,125.44
Респ. Мордовия, ВиноГУ ,14.59
Респ. Мордовия, ВиноМП ,13.77
Респ. Мордовия, ВиноФ ,122.53
Респ. Мордовия, ВиноИ ,9.16
Респ. Мордовия, ВиноИГУ ,4.48
Респ. Мордовия, ВиноШ ,18.77
Респ. Мордовия, ВН без ЭС ,133.26
Респ. Мордовия, Вино с ЭС ,4.77
Ставропольский край, Водка ,278.85
Ставропольский край, ЛИ<25% ,6.42
Ставропольский край, ЛИ>25% ,25.84
Ставропольский край, Коньяк+ ,62.40
Ставропольский край, Виски ,19.36
Ставропольский край, СП ,16.23
Ставропольский край, ВиноВ ,210.03
Ставропольский край, ВиноГУ ,15.44
Ставропольский край, ВиноМП ,14.28
Ставропольский край, ВиноФ ,141.99
Ставропольский край, ВиноИ ,16.69
Ставропольский край, ВиноИГУ ,7.88
Ставропольский край, ВиноШ ,39.12
Ставропольский край, ВН без ЭС ,137.29
Ставропольский край, Вино с ЭС ,8.16
Тамбовская область, Водка ,326.02
Тамбовская область, ЛИ<25% ,8.65
Тамбовская область, ЛИ>25% ,30.61
Тамбовская область, Коньяк+ ,44.78
Тамбовская область, Виски ,14.15
Тамбовская область, СП ,19.76
Тамбовская область, ВиноВ ,163.69
Тамбовская область, ВиноГУ ,16.86
Тамбовская область, ВиноМП ,16.83
Тамбовская область, ВиноФ ,132.61
Тамбовская область, ВиноИ ,11.53
Тамбовская область, ВиноИГУ ,6.78
Тамбовская область, ВиноШ ,39.98
Тамбовская область, ВН без ЭС ,158.46
Тамбовская область, Вино с ЭС ,9.21
Москва, Водка ,297.33
Москва, ЛИ<25% ,8.12
Москва, ЛИ>25% ,25.98
Москва, Коньяк+ ,70.61
Москва, Виски ,34.76
Москва, СП ,46.83
Москва, ВиноВ ,159.52
Москва, ВиноГУ ,73.76
Москва, ВиноМП ,89.67
Москва, ВиноФ ,31.07
Москва, ВиноИ ,28.53
Москва, ВиноИГУ ,16.55
Москва, ВиноШ ,44.91
Москва, ВН без ЭС ,62.05
Москва, Вино с ЭС ,10.33
Санкт-Петербург, Водка ,263.32
Санкт-Петербург, ЛИ<25% ,9.32
Санкт-Петербург, ЛИ>25% ,27.12
Санкт-Петербург, Коньяк+ ,76.93
Санкт-Петербург, Виски ,30.15
Санкт-Петербург, СП ,47.44
Санкт-Петербург, ВиноВ ,196.82
Санкт-Петербург, ВиноГУ ,71.46
Санкт-Петербург, ВиноМП ,75.96
Санкт-Петербург, ВиноФ ,22.66
Санкт-Петербург, ВиноИ ,29.13
Санкт-Петербург, ВиноИГУ ,14.05
Санкт-Петербург, ВиноШ ,44.48
Санкт-Петербург, ВН без ЭС ,79.82
Санкт-Петербург, Вино с ЭС ,11.34
ХМАО – Югра, Водка ,395.88
ХМАО – Югра, ЛИ<25% ,10.77
ХМАО – Югра, ЛИ>25% ,33.03
ХМАО – Югра, Коньяк+ ,74.78
ХМАО – Югра, Виски ,23.83
ХМАО – Югра, СП ,10.88
ХМАО – Югра, ВиноВ ,158.46
ХМАО – Югра, ВиноГУ ,26.49
ХМАО – Югра, ВиноМП ,26.42
ХМАО – Югра, ВиноФ ,28.03
ХМАО – Югра, ВиноИ ,19.56
ХМАО – Югра, ВиноИГУ ,13.29
ХМАО – Югра, ВиноШ ,45.62
ХМАО – Югра, ВН без ЭС ,122.34
ХМАО – Югра, Вино с ЭС ,10.58
