region_name,ap,value
Респ. Башкортостан,vodka,492
Респ. Башкортостан,lim25,9
Респ. Башкортостан,lib25,55
Респ. Башкортостан,conyac,44
Респ. Башкортостан,whiskey,17
Респ. Башкортостан,sp,2
Респ. Башкортостан,vv,158
Респ. Башкортостан,vgu,16
Респ. Башкортостан,vmp,16
Респ. Башкортостан,vf,30
Респ. Башкортостан,vi,10
Респ. Башкортостан,vgu,6
Респ. Башкортостан,vsh,21
Респ. Башкортостан,vbes,118
Респ. Башкортостан,ves,6
Респ. Дагестан,vodka,653
Респ. Дагестан,lim25,0
Респ. Дагестан,lib25,8
Респ. Дагестан,conyac,133
Респ. Дагестан,whiskey,5
Респ. Дагестан,sp,1
Респ. Дагестан,vv,132
Респ. Дагестан,vgu,45
Респ. Дагестан,vmp,4
Респ. Дагестан,vf,5
Респ. Дагестан,vi,0
Респ. Дагестан,vgu,3
Респ. Дагестан,vsh,5
Респ. Дагестан,vbes,4
Респ. Дагестан,ves,1
Респ. Коми,vodka,442
Респ. Коми,lim25,29
Респ. Коми,lib25,31
Респ. Коми,conyac,44
Респ. Коми,whiskey,8
Респ. Коми,sp,0
Респ. Коми,vv,160
Респ. Коми,vgu,12
Респ. Коми,vmp,11
Респ. Коми,vf,88
Респ. Коми,vi,9
Респ. Коми,vgu,2
Респ. Коми,vsh,36
Респ. Коми,vbes,120
Респ. Коми,ves,6
Респ. Сев. Осетия-Алания,vodka,194
Респ. Сев. Осетия-Алания,lim25,5
Респ. Сев. Осетия-Алания,lib25,11
Респ. Сев. Осетия-Алания,conyac,73
Респ. Сев. Осетия-Алания,whiskey,53
Респ. Сев. Осетия-Алания,sp,16
Респ. Сев. Осетия-Алания,vv,177
Респ. Сев. Осетия-Алания,vgu,16
Респ. Сев. Осетия-Алания,vmp,22
Респ. Сев. Осетия-Алания,vf,25
Респ. Сев. Осетия-Алания,vi,23
Респ. Сев. Осетия-Алания,vgu,11
Респ. Сев. Осетия-Алания,vsh,60
Респ. Сев. Осетия-Алания,vbes,297
Респ. Сев. Осетия-Алания,ves,15
Респ. Мордовия,vodka,462
Респ. Мордовия,lim25,13
Респ. Мордовия,lib25,26
Респ. Мордовия,conyac,32
Респ. Мордовия,whiskey,10
Респ. Мордовия,sp,10
Респ. Мордовия,vv,125
Респ. Мордовия,vgu,15
Респ. Мордовия,vmp,14
Респ. Мордовия,vf,123
Респ. Мордовия,vi,9
Респ. Мордовия,vgu,4
Респ. Мордовия,vsh,19
Респ. Мордовия,vbes,133
Респ. Мордовия,ves,5
Ставропольский край,vodka,279
Ставропольский край,lim25,6
Ставропольский край,lib25,26
Ставропольский край,conyac,62
Ставропольский край,whiskey,19
Ставропольский край,sp,16
Ставропольский край,vv,210
Ставропольский край,vgu,15
Ставропольский край,vmp,14
Ставропольский край,vf,142
Ставропольский край,vi,17
Ставропольский край,vgu,8
Ставропольский край,vsh,39
Ставропольский край,vbes,137
Ставропольский край,ves,8
Тамбовская область,vodka,326
Тамбовская область,lim25,9
Тамбовская область,lib25,31
Тамбовская область,conyac,45
Тамбовская область,whiskey,14
Тамбовская область,sp,20
Тамбовская область,vv,164
Тамбовская область,vgu,17
Тамбовская область,vmp,17
Тамбовская область,vf,133
Тамбовская область,vi,12
Тамбовская область,vgu,7
Тамбовская область,vsh,40
Тамбовская область,vbes,158
Тамбовская область,ves,9
Москва,vodka,297
Москва,lim25,8
Москва,lib25,26
Москва,conyac,71
Москва,whiskey,35
Москва,sp,47
Москва,vv,160
Москва,vgu,74
Москва,vmp,90
Москва,vf,31
Москва,vi,29
Москва,vgu,17
Москва,vsh,45
Москва,vbes,62
Москва,ves,10
Санкт-Петербург,vodka,263
Санкт-Петербург,lim25,9
Санкт-Петербург,lib25,27
Санкт-Петербург,conyac,77
Санкт-Петербург,whiskey,30
Санкт-Петербург,sp,47
Санкт-Петербург,vv,197
Санкт-Петербург,vgu,71
Санкт-Петербург,vmp,76
Санкт-Петербург,vf,23
Санкт-Петербург,vi,29
Санкт-Петербург,vgu,14
Санкт-Петербург,vsh,44
Санкт-Петербург,vbes,80
Санкт-Петербург,ves,11
ХМАО – Югра,vodka,396
ХМАО – Югра,lim25,11
ХМАО – Югра,lib25,33
ХМАО – Югра,conyac,75
ХМАО – Югра,whiskey,24
ХМАО – Югра,sp,11
ХМАО – Югра,vv,158
ХМАО – Югра,vgu,26
ХМАО – Югра,vmp,26
ХМАО – Югра,vf,28
ХМАО – Югра,vi,20
ХМАО – Югра,vgu,13
ХМАО – Югра,vsh,46
ХМАО – Югра,vbes,122
ХМАО – Югра,ves,11
