iso_name,region_name,ap_name_ru,ap_code,ap_name_abr,value
RU-BA,Респ. Башкортостан,Водка,200,vodka,49
RU-BA,Респ. Башкортостан,Ликероводочные изделия с содержанием этилового спирта до 25% включительно,211,lim25,1
RU-BA,Респ. Башкортостан,Ликероводочные изделия с содержанием этилового спирта свыше 25%,212,lib25,6
RU-BA,Респ. Башкортостан,"Коньяк и арманьяк, реализуемые в бутылках",229,conyac,4
RU-BA,Респ. Башкортостан,Виски,170,whiskey,2
RU-BA,Респ. Башкортостан,Слабоалкогольная продукция,260,sp,0
RU-BA,Респ. Башкортостан,Вино (виноградное столовое),403,vv,16
RU-BA,Респ. Башкортостан,Вино с защищенным географическим указанием,402,vgu,2
RU-BA,Респ. Башкортостан,Фруктовое (плодовое) вино,421,vf,3
RU-BA,Респ. Башкортостан,Вина игристые,440,vi,2
RU-BA,Респ. Башкортостан,Вина шампанские,450,vsh,2
RU-BA,Респ. Башкортостан,"Винный напиток, произведенный без добавления этилового спирта",461,vbes,12
RU-BA,Респ. Башкортостан,"Винный напиток, произведенный с добавлением этилового спирта",462,ves,1
RU-DA,Респ. Дагестан,Водка,200,vodka,65
RU-DA,Респ. Дагестан,Ликероводочные изделия с содержанием этилового спирта до 25% включительно,211,lim25,0
RU-DA,Респ. Дагестан,Ликероводочные изделия с содержанием этилового спирта свыше 25%,212,lib25,1
RU-DA,Респ. Дагестан,"Коньяк и арманьяк, реализуемые в бутылках",229,conyac,13
RU-DA,Респ. Дагестан,Виски,170,whiskey,0
RU-DA,Респ. Дагестан,Слабоалкогольная продукция,260,sp,0
RU-DA,Респ. Дагестан,Вино (виноградное столовое),403,vv,13
RU-DA,Респ. Дагестан,Вино с защищенным географическим указанием,402,vgu,5
RU-DA,Респ. Дагестан,Фруктовое (плодовое) вино,421,vf,0
RU-DA,Респ. Дагестан,Вина игристые,440,vi,0
RU-DA,Респ. Дагестан,Вина шампанские,450,vsh,1
RU-DA,Респ. Дагестан,"Винный напиток, произведенный без добавления этилового спирта",461,vbes,0
RU-DA,Респ. Дагестан,"Винный напиток, произведенный с добавлением этилового спирта",462,ves,0
RU-KO,Респ. Коми,Водка,200,vodka,44
RU-KO,Респ. Коми,Ликероводочные изделия с содержанием этилового спирта до 25% включительно,211,lim25,3
RU-KO,Респ. Коми,Ликероводочные изделия с содержанием этилового спирта свыше 25%,212,lib25,3
RU-KO,Респ. Коми,"Коньяк и арманьяк, реализуемые в бутылках",229,conyac,4
RU-KO,Респ. Коми,Виски,170,whiskey,1
RU-KO,Респ. Коми,Слабоалкогольная продукция,260,sp,0
RU-KO,Респ. Коми,Вино (виноградное столовое),403,vv,16
RU-KO,Респ. Коми,Вино с защищенным географическим указанием,402,vgu,2
RU-KO,Респ. Коми,Фруктовое (плодовое) вино,421,vf,9
RU-KO,Респ. Коми,Вина игристые,440,vi,1
RU-KO,Респ. Коми,Вина шампанские,450,vsh,4
RU-KO,Респ. Коми,"Винный напиток, произведенный без добавления этилового спирта",461,vbes,12
RU-KO,Респ. Коми,"Винный напиток, произведенный с добавлением этилового спирта",462,ves,1
RU-SE,Респ. Сев. Осетия-Алания,Водка,200,vodka,19
RU-SE,Респ. Сев. Осетия-Алания,Ликероводочные изделия с содержанием этилового спирта до 25% включительно,211,lim25,1
RU-SE,Респ. Сев. Осетия-Алания,Ликероводочные изделия с содержанием этилового спирта свыше 25%,212,lib25,1
RU-SE,Респ. Сев. Осетия-Алания,"Коньяк и арманьяк, реализуемые в бутылках",229,conyac,7
RU-SE,Респ. Сев. Осетия-Алания,Виски,170,whiskey,5
RU-SE,Респ. Сев. Осетия-Алания,Слабоалкогольная продукция,260,sp,2
RU-SE,Респ. Сев. Осетия-Алания,Вино (виноградное столовое),403,vv,18
RU-SE,Респ. Сев. Осетия-Алания,Вино с защищенным географическим указанием,402,vgu,4
RU-SE,Респ. Сев. Осетия-Алания,Фруктовое (плодовое) вино,421,vf,2
RU-SE,Респ. Сев. Осетия-Алания,Вина игристые,440,vi,3
RU-SE,Респ. Сев. Осетия-Алания,Вина шампанские,450,vsh,6
RU-SE,Респ. Сев. Осетия-Алания,"Винный напиток, произведенный без добавления этилового спирта",461,vbes,30
RU-SE,Респ. Сев. Осетия-Алания,"Винный напиток, произведенный с добавлением этилового спирта",462,ves,2
RU-MO,Респ. Мордовия,Водка,200,vodka,46
RU-MO,Респ. Мордовия,Ликероводочные изделия с содержанием этилового спирта до 25% включительно,211,lim25,1
RU-MO,Респ. Мордовия,Ликероводочные изделия с содержанием этилового спирта свыше 25%,212,lib25,3
RU-MO,Респ. Мордовия,"Коньяк и арманьяк, реализуемые в бутылках",229,conyac,3
RU-MO,Респ. Мордовия,Виски,170,whiskey,1
RU-MO,Респ. Мордовия,Слабоалкогольная продукция,260,sp,1
RU-MO,Респ. Мордовия,Вино (виноградное столовое),403,vv,13
RU-MO,Респ. Мордовия,Вино с защищенным географическим указанием,402,vgu,3
RU-MO,Респ. Мордовия,Фруктовое (плодовое) вино,421,vf,12
RU-MO,Респ. Мордовия,Вина игристые,440,vi,1
RU-MO,Респ. Мордовия,Вина шампанские,450,vsh,2
RU-MO,Респ. Мордовия,"Винный напиток, произведенный без добавления этилового спирта",461,vbes,13
RU-MO,Респ. Мордовия,"Винный напиток, произведенный с добавлением этилового спирта",462,ves,0
RU-STA,Ставропольский край,Водка,200,vodka,28
RU-STA,Ставропольский край,Ликероводочные изделия с содержанием этилового спирта до 25% включительно,211,lim25,1
RU-STA,Ставропольский край,Ликероводочные изделия с содержанием этилового спирта свыше 25%,212,lib25,3
RU-STA,Ставропольский край,"Коньяк и арманьяк, реализуемые в бутылках",229,conyac,6
RU-STA,Ставропольский край,Виски,170,whiskey,2
RU-STA,Ставропольский край,Слабоалкогольная продукция,260,sp,2
RU-STA,Ставропольский край,Вино (виноградное столовое),403,vv,21
RU-STA,Ставропольский край,Вино с защищенным географическим указанием,402,vgu,3
RU-STA,Ставропольский край,Фруктовое (плодовое) вино,421,vf,14
RU-STA,Ставропольский край,Вина игристые,440,vi,2
RU-STA,Ставропольский край,Вина шампанские,450,vsh,4
RU-STA,Ставропольский край,"Винный напиток, произведенный без добавления этилового спирта",461,vbes,14
RU-STA,Ставропольский край,"Винный напиток, произведенный с добавлением этилового спирта",462,ves,1
RU-TAM,Тамбовская область,Водка,200,vodka,33
RU-TAM,Тамбовская область,Ликероводочные изделия с содержанием этилового спирта до 25% включительно,211,lim25,1
RU-TAM,Тамбовская область,Ликероводочные изделия с содержанием этилового спирта свыше 25%,212,lib25,3
RU-TAM,Тамбовская область,"Коньяк и арманьяк, реализуемые в бутылках",229,conyac,4
RU-TAM,Тамбовская область,Виски,170,whiskey,1
RU-TAM,Тамбовская область,Слабоалкогольная продукция,260,sp,2
RU-TAM,Тамбовская область,Вино (виноградное столовое),403,vv,16
RU-TAM,Тамбовская область,Вино с защищенным географическим указанием,402,vgu,3
RU-TAM,Тамбовская область,Фруктовое (плодовое) вино,421,vf,13
RU-TAM,Тамбовская область,Вина игристые,440,vi,2
RU-TAM,Тамбовская область,Вина шампанские,450,vsh,4
RU-TAM,Тамбовская область,"Винный напиток, произведенный без добавления этилового спирта",461,vbes,16
RU-TAM,Тамбовская область,"Винный напиток, произведенный с добавлением этилового спирта",462,ves,1
RU-MOW,Москва,Водка,200,vodka,30
RU-MOW,Москва,Ликероводочные изделия с содержанием этилового спирта до 25% включительно,211,lim25,1
RU-MOW,Москва,Ликероводочные изделия с содержанием этилового спирта свыше 25%,212,lib25,3
RU-MOW,Москва,"Коньяк и арманьяк, реализуемые в бутылках",229,conyac,7
RU-MOW,Москва,Виски,170,whiskey,3
RU-MOW,Москва,Слабоалкогольная продукция,260,sp,5
RU-MOW,Москва,Вино (виноградное столовое),403,vv,16
RU-MOW,Москва,Вино с защищенным географическим указанием,402,vgu,16
RU-MOW,Москва,Фруктовое (плодовое) вино,421,vf,3
RU-MOW,Москва,Вина игристые,440,vi,4
RU-MOW,Москва,Вина шампанские,450,vsh,4
RU-MOW,Москва,"Винный напиток, произведенный без добавления этилового спирта",461,vbes,6
RU-MOW,Москва,"Винный напиток, произведенный с добавлением этилового спирта",462,ves,1
RU-SPE,Санкт-Петербург,Водка,200,vodka,26
RU-SPE,Санкт-Петербург,Ликероводочные изделия с содержанием этилового спирта до 25% включительно,211,lim25,1
RU-SPE,Санкт-Петербург,Ликероводочные изделия с содержанием этилового спирта свыше 25%,212,lib25,3
RU-SPE,Санкт-Петербург,"Коньяк и арманьяк, реализуемые в бутылках",229,conyac,8
RU-SPE,Санкт-Петербург,Виски,170,whiskey,3
RU-SPE,Санкт-Петербург,Слабоалкогольная продукция,260,sp,5
RU-SPE,Санкт-Петербург,Вино (виноградное столовое),403,vv,20
RU-SPE,Санкт-Петербург,Вино с защищенным географическим указанием,402,vgu,15
RU-SPE,Санкт-Петербург,Фруктовое (плодовое) вино,421,vf,2
RU-SPE,Санкт-Петербург,Вина игристые,440,vi,4
RU-SPE,Санкт-Петербург,Вина шампанские,450,vsh,4
RU-SPE,Санкт-Петербург,"Винный напиток, произведенный без добавления этилового спирта",461,vbes,8
RU-SPE,Санкт-Петербург,"Винный напиток, произведенный с добавлением этилового спирта",462,ves,1
RU-KHM,Ханты-Мансийский автономный округ — Югра,Водка,200,vodka,40
RU-KHM,Ханты-Мансийский автономный округ — Югра,Ликероводочные изделия с содержанием этилового спирта до 25% включительно,211,lim25,1
RU-KHM,Ханты-Мансийский автономный округ — Югра,Ликероводочные изделия с содержанием этилового спирта свыше 25%,212,lib25,3
RU-KHM,Ханты-Мансийский автономный округ — Югра,"Коньяк и арманьяк, реализуемые в бутылках",229,conyac,7
RU-KHM,Ханты-Мансийский автономный округ — Югра,Виски,170,whiskey,2
RU-KHM,Ханты-Мансийский автономный округ — Югра,Слабоалкогольная продукция,260,sp,1
RU-KHM,Ханты-Мансийский автономный округ — Югра,Вино (виноградное столовое),403,vv,16
RU-KHM,Ханты-Мансийский автономный округ — Югра,Вино с защищенным географическим указанием,402,vgu,5
