pp,Name,Region,profit18,profit19,capacity2018,capacity2019
1,Х5 ритейл,66,69283.8,81 420,15.1,17.3
2,Красное и Белое,57,52 535,62851.6,11.4,13.1
3,Магнит,65,49821.8,54917.6,12.5,13
4,Бристоль,50,13001.3,16515.9,3.1,3.6
5,Лента,60,15779.5,15 793,2.4,2.4
6,Дикси,27,12513.7,13002.6,2.9,3
7,Метро,50,11621.4,10746.8,1.1,1.1
8,Ароматный мир,20,5573.8,6782.3,0.5,0.6
9,Ашан,39,6670.4,6038.3,1.1,1
10,О Кей,29,5748.4,5181.3,0.9,0.8
11,Азбука вкуса,6,4 233,4463.6,0.3,0.3
12,Мария ра,5,3597.5,4 366,1,1.2
13,Гиперглобус,7,3266.5,3 243,0.5,0.5
14,Монетка,15,2480.8,2756.6,0.7,0.7
15,7Я,10,3223.4,2655.1,0.6,0.5
16,Верный,12,2203.3,2616.5,0.6,0.7
17,Ярче,6,"1 973,00",2412.9,0.5,0.6
18,Норман,2,2005.5,2069.5,0.3,0.4
19,Билла,8,2099.5,1908.2,0.3,0.3
20,Магнолия,5,1484.3,"1 466,00",0.2,0.2
