pp,Name,Region,profit,profit19,capacity,,year
1,Х5 ритейл,66,69283.8,,15.1,,2018
2,Красное и Белое,57,52535,,11.4,,2018
3,Магнит,65,49821.8,,12.5,,2018
4,Бристоль,50,13001.3,,3.1,,2018
5,Лента,60,15779.5,,2.4,,2018
6,Дикси,27,12513.7,,2.9,,2018
7,Метро,50,11621.4,,1.1,,2018
8,Ароматный мир,20,5573.8,,0.5,,2018
9,Ашан,39,6670.4,,1.1,,2018
10,О Кей,29,5748.4,,0.9,,2018
11,Азбука вкуса,6,4233,,0.3,,2018
12,Мария ра,5,3597.5,,1,,2018
13,Гиперглобус,7,3266.5,,0.5,,2018
14,Монетка,15,2480.8,,0.7,,2018
15,7Я,10,3223.4,,0.6,,2018
16,Верный,12,2203.3,,0.6,,2018
17,Ярче,6,1973,,0.5,,2018
18,Норман,2,2005.5,,0.3,,2018
19,Билла,8,2099.5,,0.3,,2018
20,Магнолия,5,1484.3,,0.2,,2018
21,Х5 ритейл,66,81420,,17.3,,2019
22,Красное и Белое,57,62851.6,,13.1,,2019
23,Магнит,65,54917.6,,13,,2019
24,Бристоль,50,16515.9,,3.6,,2019
25,Лента,60,15793,,2.4,,2019
26,Дикси,27,13002.6,,3,,2019
27,Метро,50,10746.8,,1.1,,2019
28,Ароматный мир,20,6782.3,,0.6,,2019
29,Ашан,39,6038.3,,1,,2019
30,О Кей,29,5181.3,,0.8,,2019
31,Азбука вкуса,6,4463.6,,0.3,,2019
32,Мария ра,5,4366,,1.2,,2019
33,Гиперглобус,7,3243,,0.5,,2019
34,Монетка,15,2756.6,,0.7,,2019
35,7Я,10,2655.1,,0.5,,2019
36,Верный,12,2616.5,,0.7,,2019
37,Ярче,6,2412.9,,0.6,,2019
38,Норман,2,2069.5,,0.4,,2019
39,Билла,8,1908.2,,0.3,,2019
40,Магнолия,5,1466,,0.2,,2019
